"hashtag","extracted_location","positive","negative","neutral","trust","anticipation","fear","sadness","joy","anger","suprise","disgust","total_positive","total_negative"
"#Agenda2030",NA,0,1,0,0,0,0,1,0,0,1,0,1,2
"#AgostiniEsposito-4.","united states",0,1,0,0,1,0,1,0,0,0,0,0,3
"#AgostiniEsposito-5.","united states",0,0,0,2,1,0,0,0,0,0,0,2,1
"#AGPLIMITED",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#AguanteLaCiencia","argentina",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Ahmedabad",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Ahmedabad.",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#AI",NA,6,0,0,2,3,0,0,0,0,0,0,8,3
"#AI,",NA,2,0,0,0,2,0,0,0,0,0,0,2,2
"#AIDS","france",1,0,0,0,0,0,0,0,0,0,0,1,0
"#AIDS",NA,1,0,0,1,1,0,0,1,0,1,0,4,1
"#aiims","india",1,0,1,1,1,0,0,0,0,0,0,2,1
"#aiims",NA,2,0,0,1,0,0,0,0,0,0,0,3,0
"#AIIMS","india",43,9,6,11,4,9,8,0,12,8,0,62,30
"#AIIMS","niger",0,0,1,0,0,0,0,0,0,0,0,0,0
"#AIIMS","united states",2,0,0,2,1,0,0,0,0,0,0,4,1
"#AIIMS",NA,22,9,5,8,2,9,8,1,11,9,0,40,28
"#AIIMS,","congo",1,0,0,0,0,0,0,0,0,0,0,1,0
"#AIIMS,","india",3,1,1,0,0,1,1,0,1,2,0,5,3
"#AIIMS,",NA,4,1,1,2,0,2,2,0,1,1,0,7,5
"#aiims.","india",2,0,1,2,0,0,0,0,0,0,0,4,0
"#aiims.",NA,3,3,0,0,0,3,3,0,3,3,0,6,9
"#AIIMS.","india",8,1,2,0,1,2,1,0,2,1,0,9,5
"#AIIMS.",NA,11,0,0,2,1,0,0,2,4,1,0,16,1
"#AIIMS...it's","india",1,1,0,0,0,1,1,0,1,1,0,2,3
"#AIIMS...it's",NA,1,1,0,0,0,1,1,0,1,1,0,2,3
"#AIIMS:","india",1,0,0,1,0,0,0,0,0,0,0,2,0
"#AIIMS:",NA,1,0,0,1,0,0,0,0,0,0,0,2,0
"#AIIMS?","india",0,0,1,0,0,0,0,0,0,0,0,0,0
