"hashtag","extracted_location","positive","negative","neutral","trust","anticipation","fear","sadness","joy","anger","suprise","disgust","total_positive","total_negative"
"#inspirational","india",1,0,0,0,0,0,0,0,0,0,0,1,0
"#inspirational","united kingdom",2,1,0,0,1,0,0,0,0,1,0,3,2
"#inspirational","united states",4,2,0,0,2,0,0,0,0,2,0,6,4
"#inspirational",NA,2,1,0,0,1,0,0,0,0,1,0,3,2
"#instagram.","india",2,0,0,0,1,0,0,0,0,0,0,2,1
"#instagramdown",NA,3,0,0,3,1,0,0,3,0,2,1,11,2
"#Inter113,",NA,0,1,0,0,0,0,1,0,0,0,0,0,2
"#International",NA,1,0,0,1,2,0,0,1,0,0,0,3,2
"#International:","ethiopia",1,0,0,0,2,0,0,1,0,1,0,3,2
"#InternationalDayOfWomenInScience","united kingdom",1,0,0,0,1,0,0,1,0,0,0,2,1
"#internationalflights",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#InternationalWomensDay","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#InternationalWomensDay","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#InternationalWomensDay",NA,2,0,0,1,2,0,0,1,0,0,0,4,2
"#InternationalWomensDay.","india",1,0,0,1,2,1,0,0,0,0,0,2,3
"#Internet",NA,1,0,0,1,0,0,0,1,0,1,0,4,0
"#Interpol",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#InThisTogether","united kingdom",0,0,1,0,0,0,0,0,0,0,0,0,0
"#investing","india",1,1,0,1,3,0,0,1,1,1,0,4,4
"#investing",NA,86,0,1,0,57,0,0,0,0,0,0,86,57
"#Investing#ThinkOrSwim","united states",2,0,0,1,2,1,0,1,0,1,0,5,3
"#investing.","slovakia",1,2,0,0,1,1,0,1,0,1,0,3,4
"#investing.",NA,0,1,0,0,0,0,0,0,0,0,0,0,1
"#Investing.","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#investing?",NA,7,0,0,0,5,0,0,0,0,0,0,7,5
"#investors",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#IOAPRO1501",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#IOC","netherlands",1,0,0,1,0,0,0,0,0,0,0,2,0
"#IOC",NA,2,0,0,1,0,0,0,0,0,0,0,3,0
"#Iot","india",1,1,0,0,1,0,0,0,0,0,0,1,2
"#IowaTribeOfOklahoma","united states",2,0,0,0,0,0,0,0,0,0,0,2,0
"#IP",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#iPad","united arab emirates",1,0,0,1,0,0,0,0,0,0,0,2,0
"#iphone","united states",1,0,0,0,0,0,0,1,0,0,0,2,0
"#iPhone12","india",1,1,0,0,0,0,0,0,1,0,0,1,1
"#IPL",NA,1,4,0,1,1,1,1,1,1,0,1,3,8
"#IPL2021",NA,1,4,0,1,1,1,1,1,1,0,1,3,8
"#IQAward2020",NA,2,0,0,0,1,0,0,1,0,1,0,4,1
"#Irak",NA,2,0,0,0,1,0,0,1,0,1,0,4,1
"#Irak:",NA,1,0,0,1,0,0,0,0,0,0,0,2,0
"#iran",NA,3,1,0,0,1,1,0,1,0,0,0,4,3
"#Iran","bangladesh",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Iran","denmark",0,4,0,0,0,0,0,0,0,0,0,0,4
"#Iran","india",1,0,2,0,0,0,0,0,0,0,0,1,0
"#Iran","iran",8,2,1,2,5,1,0,0,0,0,0,10,8
"#Iran","ireland republic",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Iran","lebanon",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Iran","malaysia",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Iran","pakistan",2,0,0,2,1,0,0,2,0,1,0,7,1
"#Iran","united kingdom",2,0,0,2,1,0,0,1,0,1,0,6,1
"#Iran","united states",4,2,1,2,5,1,1,2,1,2,1,10,10
"#Iran",NA,27,26,12,9,22,14,12,0,11,10,9,46,83
"#IRAN",NA,3,0,0,0,0,0,0,0,0,0,0,3,0
"#Iran's",NA,6,1,1,5,1,0,0,2,0,0,0,13,2
"#Iran,",NA,5,0,0,1,5,0,0,0,0,0,0,6,5
"#Iran.",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Iran:",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Iran:#coronavirus","united states",0,2,0,0,1,1,1,0,1,1,1,1,6
"#Iran:#Coronavirus","denmark",0,8,0,0,4,4,4,0,4,4,4,4,24
"#Iran:#Coronavirus",NA,0,18,0,0,9,9,9,0,9,9,9,9,54
"#Iran:#CoronavirusDeath",NA,0,1,0,0,0,0,0,0,0,0,0,0,1
"#Iraq","bangladesh",2,0,0,0,0,0,0,0,0,0,0,2,0
"#Iraq","china",2,3,1,1,0,2,0,0,0,0,0,3,5
"#Iraq","denmark",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Iraq","saudi arabia",1,0,0,0,1,0,0,0,0,0,0,1,1
"#Iraq","united arab emirates",2,0,0,1,1,0,0,1,0,0,0,4,1
"#Iraq",NA,12,2,1,4,6,2,0,4,0,2,0,22,10
"#Iraq's","china",3,0,0,3,0,0,0,1,0,0,0,7,0
"#Iraq,","china",1,1,0,0,0,1,0,0,0,0,0,1,2
"#Iraq,","peru",1,0,0,1,0,0,0,0,0,0,0,2,0
"#Iraq,",NA,1,1,0,0,0,1,0,0,0,0,0,1,2
"#Iraq.",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#Iraqi","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Iraqi",NA,2,0,0,2,0,0,0,2,0,0,0,6,0
"#ireland",NA,2,0,0,1,1,0,0,0,0,0,0,3,1
"#Ireland","france",0,2,0,0,0,2,1,0,1,0,1,0,6
"#Ireland","ireland republic",3,0,0,0,1,0,0,1,0,1,0,5,1
"#Ireland","united states",4,0,0,3,0,0,0,0,0,0,0,7,0
"#Ireland",NA,4,1,1,1,1,1,1,0,1,1,1,6,5
"#Irish","united states",1,1,0,0,0,1,0,0,0,0,0,1,2
"#Irish.","ireland republic",1,0,0,0,0,0,0,0,0,0,0,1,0
"#IRL",NA,1,2,0,0,1,2,2,0,2,2,0,3,7
"#ironbrothers",NA,3,0,0,2,0,0,0,1,0,0,0,6,0
"#IRONFX",NA,1,1,0,1,1,0,1,1,1,1,0,4,3
"#irritable,",NA,1,5,0,0,1,2,3,0,2,0,2,1,13
"#ISaidWhatISaid",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Ishara","india",1,0,2,0,2,1,0,0,0,0,0,1,3
"#Ishara.",NA,1,0,0,0,1,1,0,0,0,0,0,1,2
"#Islam",NA,1,0,0,0,0,0,0,1,0,0,0,2,0
"#Islamabad","pakistan",1,1,0,0,1,1,0,1,0,1,0,3,3
"#Islamabad","united arab emirates",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Islamabad",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Islamabad.","pakistan",1,0,0,1,0,0,0,0,0,0,0,2,0
"#islamic","netherlands",0,0,1,0,0,0,0,0,0,0,0,0,0
"#islamits","india",1,1,0,1,0,0,0,1,1,0,0,3,1
"#isleofman",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#IsleOfWight","united kingdom",2,0,0,0,0,0,0,1,0,0,0,3,0
"#isola",NA,0,0,0,0,1,0,0,0,0,0,0,0,1
"#israel",NA,1,2,0,0,0,2,1,0,2,0,1,1,6
"#Israel","china",3,1,0,0,0,1,1,0,1,1,0,4,3
"#Israel","france",2,0,0,1,0,0,0,0,0,0,0,3,0
"#Israel","israel",4,4,0,1,3,2,2,4,1,1,0,10,11
"#Israel","jordan",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Israel","lithuania",1,0,0,1,0,0,0,0,0,0,0,2,0
"#Israel","malaysia",2,0,0,0,0,0,0,0,0,0,0,2,0
"#Israel","tanzania",1,1,0,0,1,1,0,0,1,0,0,1,3
"#Israel","turkey",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Israel","united kingdom",2,1,0,1,0,1,0,0,0,0,0,3,2
"#Israel","united states",14,6,1,8,3,5,2,2,2,1,1,25,17
"#Israel","venezuela",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Israel",NA,39,9,4,20,5,7,9,3,2,3,3,65,33
"#israel's","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Israel's","italy",2,2,0,0,0,1,1,0,0,0,0,2,4
"#Israel's","united kingdom",0,1,0,0,0,0,1,0,1,0,0,0,2
"#Israel's","united states",3,0,0,1,0,0,0,0,0,0,0,4,0
"#Israel,","united states",0,4,0,0,4,4,4,0,4,4,0,4,16
"#Israel,1",NA,1,1,0,1,0,1,1,0,1,1,0,3,3
"#Israel.","azerbaijan",1,1,0,0,0,1,0,0,1,0,1,1,3
"#Israel.","israel",2,0,0,0,1,0,0,0,0,0,0,2,1
"#Israel.","pakistan",1,0,0,1,0,0,0,0,0,0,0,2,0
"#Israel.",NA,2,1,1,1,0,1,1,0,0,0,0,3,3
"#Israel?",NA,0,0,0,1,0,0,0,0,0,0,0,1,0
"#IsraelAhmedMenai",NA,1,0,0,1,0,0,0,0,0,0,0,2,0
"#Israeli","azerbaijan",1,1,0,0,0,1,0,0,1,0,1,1,3
"#Israeli","israel",2,0,0,1,0,1,0,0,0,0,0,3,1
"#Israeli","italy",3,1,0,1,0,1,1,0,1,1,0,5,3
"#Israeli","united arab emirates",1,2,0,0,0,0,1,0,1,0,0,1,3
"#Israeli","united kingdom",2,0,0,2,1,1,0,0,0,0,0,4,2
"#Israeli","united states",2,1,0,1,1,2,0,0,0,0,0,3,4
"#Israeli",NA,3,1,1,2,1,0,0,0,0,0,0,5,2
"#Israelis","united kingdom",1,1,0,0,0,0,0,0,0,0,0,1,1
"#ISRO",NA,1,0,0,1,1,0,0,0,0,0,0,2,1
"#Istanbul",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#IStandWithTrudeau","united states",1,0,0,1,1,0,0,0,0,0,0,2,1
"#IstiklalCaddesi.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#ISurvived",NA,1,2,0,1,1,3,2,1,2,2,1,5,9
"#it","india",0,1,0,1,1,0,0,0,0,0,0,1,2
"#Italia",NA,2,1,1,1,1,0,0,0,0,0,0,3,2
"#Italian",NA,2,1,0,0,1,1,0,1,0,0,0,3,3
"#Italian-#Swiss","malaysia",3,0,0,1,0,0,0,0,0,0,0,4,0
"#Italians",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#italy",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Italy","belgium",1,0,0,2,0,0,0,1,0,0,0,4,0
"#Italy","india",2,0,0,1,1,0,0,1,0,1,0,5,1
"#Italy","israel",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Italy","italy",2,1,0,1,1,0,0,0,0,0,0,3,2
"#Italy","pakistan",5,0,0,2,1,0,0,2,0,1,0,10,1
"#Italy","slovakia",3,0,0,1,2,0,0,1,0,1,0,6,2
"#Italy","united kingdom",5,5,0,2,1,4,1,2,1,1,0,10,11
"#Italy","united states",27,0,0,13,14,0,0,13,0,13,0,66,14
"#Italy",NA,42,3,5,15,16,6,1,10,6,8,4,75,30
"#ITALY",NA,14,0,0,10,8,2,0,8,0,0,0,32,10
"#Italy's","italy",1,0,0,1,0,0,0,0,0,0,0,2,0
"#Italy's","qatar",0,1,0,0,0,1,0,0,0,0,0,0,2
"#Italy's",NA,0,2,0,1,0,2,1,0,0,0,1,1,6
"#Italy!","united kingdom",1,1,0,0,0,1,0,0,0,0,0,1,2
"#Italy,","india",2,0,0,1,1,0,0,1,0,1,0,5,1
"#Italy,","italy",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Italy,","united arab emirates",2,0,0,0,0,0,0,0,0,0,0,2,0
"#Italy,","united kingdom",1,0,0,0,1,0,0,0,0,0,0,1,1
"#Italy,",NA,10,0,1,5,5,1,0,4,0,2,0,21,6
"#Italy.","italy",3,0,0,1,1,0,0,1,0,1,0,6,1
"#Italy.",NA,13,1,0,7,5,2,1,4,1,2,1,26,10
"#Italy;",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#ITCard","india",1,0,0,0,0,0,0,0,0,0,0,1,0
"#ItHitsYa.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#itIsMyBodyItIsMyChoice",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#ITP","united kingdom",1,1,0,0,0,0,0,0,0,0,0,1,1
"#ITP",NA,0,3,0,0,0,3,3,0,1,1,0,1,9
"#ITraids",NA,2,0,0,1,0,0,0,0,0,0,0,3,0
"#itsagoodday",NA,0,0,0,0,0,1,0,0,0,0,0,0,1
"#ItsASin",NA,1,0,0,1,1,0,0,1,0,1,0,4,1
"#ItsNOTaVaccine",NA,2,0,0,2,2,0,0,0,0,0,0,4,2
"#itu","united kingdom",1,0,0,1,0,0,0,0,0,0,0,2,0
"#ITUNurse","united kingdom",1,0,0,1,0,1,1,1,0,0,0,3,2
"#ITVideo","india",0,0,0,0,0,0,0,0,1,0,0,0,0
"#itvnews","united kingdom",1,1,0,1,1,0,0,1,1,0,1,3,3
"#itwasacoolblacknight","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#IvanDuque","colombia",3,0,0,1,1,0,0,1,1,1,0,6,1
"#IVax",NA,0,0,0,1,0,0,0,0,0,0,0,1,0
"#ivermectin","united states",1,1,0,0,1,1,0,0,0,0,0,1,3
"#ivermectin",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#Ivermectin",NA,6,3,0,5,2,3,1,4,3,3,1,18,10
"#ivyparkxadidas",NA,1,1,0,0,0,2,1,0,0,0,0,1,4
"#iwannaseemyfriends",NA,1,1,0,1,1,1,1,1,1,2,1,5,5
"#iwantyourkidsbackinschooltoo",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#IWillTakeTheVaccine.","united states",2,0,0,0,0,0,0,0,0,0,0,2,0
"#Iwonderwhy",NA,0,1,0,0,0,0,0,0,0,0,0,0,1
"#IYKYK",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#IZONE_PERMANENT",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#j&amp;j",NA,2,1,0,0,0,1,1,0,1,1,0,3,3
"#J&amp;J","italy",2,0,0,0,0,0,0,0,0,0,0,2,0
"#J&amp;J","united states",6,0,0,1,1,0,0,1,0,0,0,8,1
"#J&amp;J",NA,5,2,0,2,1,1,0,2,0,0,0,9,4
"#J&amp;J's","united states",1,1,0,0,0,1,1,0,1,0,0,1,3
"#J&amp;J,",NA,1,1,0,0,1,0,0,0,0,0,0,1,2
"#J&amp;J.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#J&amp;J;",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#J&amp;J?","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#J2MSCares","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#JaanoJunction",NA,0,0,0,0,1,0,0,0,0,0,0,0,1
"#jab","greece",1,0,0,0,0,0,0,0,1,0,0,1,0
"#jab","united arab emirates",0,0,0,0,0,0,0,0,1,0,0,0,0
"#jab","united kingdom",0,0,0,0,0,0,0,0,1,0,0,0,0
"#jab","united states",3,2,0,1,0,2,2,0,5,1,0,5,6
"#jab",NA,4,2,0,0,0,0,1,0,8,2,0,6,3
"#Jab","india",0,0,0,0,0,0,0,0,1,0,0,0,0
"#Jab",NA,2,1,0,2,1,2,1,1,2,0,0,5,5
"#jab?","bangladesh",0,0,0,0,0,0,0,0,1,0,0,0,0
"#jab?",NA,0,2,0,0,1,1,1,0,2,0,0,0,5
"#jabbathevaccine.",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#jabbed",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#JabbyJab","united kingdom",0,0,1,0,0,0,0,0,0,0,0,0,0
"#jabs","greece",0,0,0,0,1,0,0,0,0,0,0,0,1
"#jabs","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Jabs.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#jackieweaverhastheauthority","united kingdom",1,0,0,1,0,0,0,1,0,1,0,4,0
"#Jamaica","united kingdom",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Jamaica",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Jamaica.","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Jamaica.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#jandj","united states",1,1,0,0,0,1,1,0,0,0,0,1,3
"#jandj",NA,1,1,0,0,0,1,1,0,0,0,0,1,3
"#JandJ","united states",3,3,0,0,3,2,1,0,1,1,0,4,9
"#JandJ",NA,3,2,1,0,0,1,1,0,1,0,1,3,5
"#JandJ)",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#JandJ,",NA,0,1,0,0,0,1,1,0,1,1,0,1,3
"#JandJvaccine","united kingdom",1,0,0,0,0,0,0,0,0,0,0,1,0
"#JandJVaccine:","united states",2,0,0,2,1,0,0,1,0,1,0,6,1
"#janetmills","united states",1,1,0,0,0,1,1,0,1,1,0,2,3
"#JanetMoore",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#janeudhari","india",0,1,0,0,0,0,0,0,0,0,0,0,1
"#jansen",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Jansen,","united kingdom",0,1,0,1,0,0,0,0,0,0,0,1,1
"#janssen",NA,1,1,0,1,0,2,1,1,0,0,0,3,4
"#Janssen","maldives",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Janssen","united states",5,2,0,0,4,1,1,0,1,1,0,6,8
"#Janssen",NA,8,1,1,2,2,1,1,2,1,2,0,14,5
"#janssen.","spain",0,0,1,0,0,0,0,0,0,0,0,0,0
"#January6th","united states",3,1,0,2,2,0,1,3,0,0,0,8,4
"#japan",NA,10,0,0,5,0,0,0,0,0,0,0,15,0
"#Japan","japan",3,2,0,0,0,0,1,0,0,1,0,4,3
"#Japan","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Japan",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#JAPAN",NA,3,0,0,0,0,0,0,0,0,0,0,3,0
"#Japan's","japan",2,2,0,1,0,0,0,0,0,0,0,3,2
"#Japan's","united arab emirates",3,0,0,1,0,0,0,1,0,0,0,5,0
"#Japan,","japan",3,1,0,1,1,0,1,1,1,1,0,6,3
"#Japan.","united states",0,0,0,0,1,0,0,0,0,0,0,0,1
"#JayVigyan",NA,2,0,0,1,1,0,0,1,0,0,0,4,1
"#JCPOA","italy",2,0,0,2,1,0,0,0,1,0,0,4,1
"#jcpsshotofhope",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#JCVI",NA,1,1,0,2,1,0,0,1,0,0,0,4,2
"#jealousy",NA,1,1,0,1,1,1,1,1,1,0,1,3,5
"#Jeddah,","saudi arabia",1,0,0,0,0,0,0,0,0,0,0,1,0
"#jeffbezos",NA,0,0,0,0,1,0,0,0,0,0,0,0,1
"#JeffreyEpstein","united states",0,0,0,1,0,0,0,0,0,0,0,1,0
"#JeffreyEpstein",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#jelloshots",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Jensen",NA,0,0,0,0,0,1,0,0,0,0,0,0,1
"#jensstoltenberg",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#JerseyShoreUniversityMedicalCenter","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Jerusalem","italy",3,1,0,1,0,1,1,0,1,1,0,5,3
"#Jesus.","united states",1,1,0,1,1,1,1,1,1,0,1,3,5
"#JesusHouse",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#JeuxAvecFrontieres","united states",1,0,0,0,0,0,0,1,0,1,0,3,0
"#jews",NA,0,2,0,0,0,2,1,0,2,0,1,0,6
"#JFDA",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#JGTO","japan",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Jharkhand","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#JHMCCovidVaccine.","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Jimcramer",NA,1,1,0,1,0,0,0,0,0,0,0,2,1
"#JJ","united states",2,0,0,1,0,0,0,0,1,0,0,3,0
"#JJ",NA,1,0,1,0,0,0,0,0,0,0,0,1,0
"#JJ?",NA,0,0,0,1,0,0,0,0,0,0,0,1,0
"#JJHospital","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#jjvaccine",NA,2,0,0,1,0,0,0,0,0,0,0,3,0
"#jmu",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#jnj",NA,4,5,0,3,4,3,3,3,3,3,1,13,16
"#JnJ","united states",1,1,0,0,0,0,0,0,0,0,0,1,1
"#JnJ",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#JNJ","greece",1,0,0,1,1,0,0,1,1,1,0,4,1
"#JNJ","united states",1,0,1,0,0,0,0,0,0,0,0,1,0
"#JNJ",NA,3,0,0,1,1,0,0,1,0,1,0,6,1
"#JnJ.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Job","india",2,0,0,0,0,0,0,0,0,0,0,2,0
"#JobGuarantee",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#jobloss","india",0,1,0,0,0,2,1,0,0,0,0,0,4
"#jobs.","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#jobsearcg","united kingdom",2,1,0,0,1,0,0,0,0,1,0,3,2
"#jobsearcg","united states",2,1,0,0,1,0,0,0,0,1,0,3,2
"#jobsearcg",NA,2,1,0,0,1,0,0,0,0,1,0,3,2
"#JobWellDone","united kingdom",1,0,0,1,1,0,0,1,0,0,0,3,1
"#JocksOfTheDay",NA,0,1,0,0,0,1,1,0,0,0,0,0,3
"#joebiden",NA,2,1,0,1,1,0,0,0,0,0,1,3,3
"#JoeBiden","india",9,1,0,5,0,1,0,0,0,0,0,14,2
"#JoeBiden","israel",1,1,0,1,0,0,1,1,0,2,0,5,2
"#JoeBiden","pakistan",1,0,0,1,0,1,1,0,0,0,0,2,2
"#JoeBiden","qatar",1,0,0,1,0,0,0,0,0,0,0,2,0
"#JoeBiden","singapore",4,0,0,2,0,0,0,0,0,0,0,6,0
"#JoeBiden","united states",18,2,6,7,3,0,2,3,2,3,0,31,7
"#JoeBiden",NA,7,1,3,3,0,0,0,0,0,1,0,11,1
"#joebiden.",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#joebiden?.",NA,3,0,0,0,0,0,0,0,0,0,0,3,0
"#JoeBidenPresidentElect.","india",3,0,0,2,0,0,0,0,0,0,0,5,0
"#JohnsHopkins",NA,1,0,0,1,0,0,0,0,0,0,0,2,0
"#johnson","united states",3,0,0,0,0,0,0,0,0,0,0,3,0
"#johnson",NA,1,2,2,0,0,1,2,0,1,1,0,2,5
"#Johnson","egypt",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Johnson","italy",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Johnson","united states",4,1,1,1,0,1,1,0,1,1,0,6,3
"#Johnson",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Johnson's","united kingdom",2,2,0,1,1,1,1,1,2,1,1,5,6
"#johnson&amp;johnson",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Johnson&amp;Johnson","united kingdom",1,0,0,1,1,0,0,1,1,1,0,4,1
"#Johnson&amp;Johnson","united states",2,0,1,1,0,0,0,0,0,0,0,3,0
"#Johnson&amp;Johnson",NA,1,1,1,1,0,1,1,0,1,1,0,3,3
"#Johnson&amp;Johnson's","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Johnson_and_Johnson","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Johnson_Johnson","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#johnsonandjohnson","algeria",0,0,1,0,0,0,0,0,0,0,0,0,0
"#johnsonandjohnson","france",2,0,0,1,0,0,0,0,0,0,0,3,0
"#johnsonandjohnson","india",6,1,0,3,2,1,2,1,0,1,0,11,6
"#johnsonandjohnson","ireland republic",0,1,0,0,0,0,0,0,1,0,1,0,2
"#johnsonandjohnson","mexico",0,0,1,0,0,0,0,0,0,0,0,0,0
"#johnsonandjohnson","spain",0,0,1,0,0,0,0,0,0,0,0,0,0
"#johnsonandjohnson","united states",27,7,5,6,6,7,7,6,6,8,4,47,31
"#johnsonandjohnson",NA,31,6,6,11,5,3,3,3,2,3,0,48,17
"#johnsonandJohnson",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#JohnsonandJohnson","united states",7,0,2,1,1,0,0,1,0,1,0,10,1
"#JohnsonandJohnson",NA,19,4,1,7,6,3,4,6,3,3,2,35,19
"#JohnsonAndJohnson","niger",1,1,0,0,0,0,0,0,0,0,1,1,2
"#JohnsonAndJohnson","saudi arabia",0,1,0,0,0,1,0,0,0,0,0,0,2
"#JohnsonAndJohnson","serbia",2,0,0,1,0,0,0,0,0,0,0,3,0
"#JohnsonAndJohnson","united states",13,8,1,7,3,3,4,3,4,3,1,26,19
"#JohnsonAndJohnson",NA,31,9,14,6,3,4,3,6,4,3,3,46,22
"#JohnsonandJohnson's.",NA,1,0,0,1,1,0,0,0,0,0,0,2,1
"#JohnsonandJohnson,",NA,3,0,0,2,0,0,0,1,0,0,0,6,0
"#JohnsonAndJohnson,",NA,1,1,3,1,1,0,0,1,0,0,1,3,3
"#johnsonandjohnson.","united states",4,0,1,3,0,0,0,0,0,0,0,7,0
"#johnsonandjohnson.",NA,0,0,2,0,0,0,0,0,0,0,0,0,0
"#JohnsonandJohnson.",NA,1,0,0,1,0,0,0,1,0,0,0,3,0
"#JohnsonAndJohnson.",NA,0,0,2,0,0,0,0,0,0,0,0,0,0
"#johnsonandjohnson?","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#JohnsonAndJohnson?",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#JohnsonAndJohnsonVaccine","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#JohnsonAndJohnsonVaccine","united states",6,0,1,1,0,0,0,0,0,0,0,7,0
"#JohnsonAndJohnsonVaccine",NA,3,2,6,1,0,1,2,1,1,1,0,6,5
"#JohnsonAndJohnsonVaccine.",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#JohnsonAndJohnsonVaccine?",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#JohnsonAndJohnsonVaccines","united arab emirates",0,1,0,0,0,1,1,0,0,1,0,1,3
"#johnsonandtoxin",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#JohnsonJohnson","bulgaria",0,0,1,0,0,0,0,0,0,0,0,0,0
"#JohnsonJohnson","india",3,1,0,1,0,1,1,0,1,1,0,5,3
"#JohnsonJohnson","united states",0,0,2,0,0,0,0,0,0,0,0,0,0
"#JohnsonJohnson",NA,2,0,1,1,0,0,0,0,0,0,0,3,0
"#johnsonsquared","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#JohnSteenhuisen","united states",2,0,0,1,1,0,0,0,0,0,0,3,1
"#JohsonsAndJohnsons",NA,0,1,0,0,0,1,1,0,1,0,0,0,3
"#JoinTheHerd",NA,0,1,0,0,0,1,1,0,1,1,0,1,3
"#joker","united states",2,0,0,1,0,0,0,2,0,1,0,6,0
"#Jokowi's","singapore",2,0,0,1,0,0,0,2,0,0,0,5,0
"#Jolene","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#JoleneVaccine.",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#jordan","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
